IDFIL,NAME,TOTAL_FLUX,MEAN_DENS,MEAN_TEMP,ELLIPTICITY,CONTRAST,SATELLITE,INSTRUMENT
977482,HiGALFil312.2945+0.3316,1.1672000e+25,1.1409000e+21,17.9460,1.40845,1.18750,Herschel,SPIRE
977488,HiGALFil320.8066+0.3243,4.5335000e+24,6.8444000e+20,18.6300,2.63158,1.16470,Herschel,SPIRE
977502,HiGALFil322.2583+0.3273,5.2577000e+24,2.1951000e+20,17.1610,1.72414,1.06960,Herschel,SPIRE
977514,HiGALFil314.5934+0.3307,5.4534000e+24,5.3108000e+20,17.1380,1.66667,1.21450,Herschel,SPIRE
977530,HiGALFil319.5824+0.3111,2.5699000e+24,3.8196000e+20,17.3880,3.12500,1.02930,Herschel,SPIRE
977535,HiGALFil317.5383+0.3194,2.9307000e+24,3.1257000e+20,18.6350,2.08333,1.08960,Herschel,SPIRE
977548,HiGALFil313.7045+0.3321,9.3617000e+24,1.0348000e+21,17.4220,1.72414,1.14410,Herschel,SPIRE
977574,HiGALFil313.0068+0.3329,1.0709000e+25,1.8994000e+21,17.7950,2.27273,1.32770,Herschel,SPIRE
977580,HiGALFil322.1470+0.3442,5.1943000e+24,7.0877000e+20,17.1560,1.44928,1.14720,Herschel,SPIRE
977588,HiGALFil319.0081+0.3315,3.1106000e+24,5.8975000e+20,17.5010,1.38889,1.15270,Herschel,SPIRE
977611,HiGALFil321.0251+0.3662,1.2546000e+25,1.7978000e+21,16.8680,2.43902,1.34310,Herschel,SPIRE
977619,HiGALFil316.1589+0.3458,6.5855000e+24,5.1078000e+20,17.3700,2.17391,1.11440,Herschel,SPIRE
977624,HiGALFil321.5179+0.3599,5.9685000e+24,8.2048000e+20,17.2880,1.53846,1.17430,Herschel,SPIRE
977631,HiGALFil317.3106+0.3391,2.3255000e+24,3.0044000e+20,18.9690,2.27273,1.06270,Herschel,SPIRE
977647,HiGALFil319.4544+0.3486,3.6763000e+24,8.4542000e+20,16.7780,1.63934,1.23380,Herschel,SPIRE
977652,HiGALFil314.3923+0.3478,6.6937000e+24,2.1445000e+21,16.4270,1.78571,1.42370,Herschel,SPIRE
977674,HiGALFil316.6915+0.3514,5.1795000e+24,1.1733000e+21,18.5770,1.44928,1.29190,Herschel,SPIRE
977677,HiGALFil315.6214+0.3402,3.0892000e+24,2.9214000e+20,17.9350,2.22222,1.08880,Herschel,SPIRE
977690,HiGALFil320.0515+0.3575,3.0302000e+24,4.7005000e+20,17.4890,1.44928,1.14860,Herschel,SPIRE
977712,HiGALFil321.5738+0.3655,2.4996000e+24,2.2818000e+20,17.1350,2.04082,1.06460,Herschel,SPIRE
977713,HiGALFil320.9144+0.3536,3.9926000e+24,9.4246000e+20,17.6590,1.75439,1.20840,Herschel,SPIRE
977716,HiGALFil318.5711+0.3605,4.0112000e+24,4.1056000e+20,16.7890,1.75439,1.11950,Herschel,SPIRE
977727,HiGALFil314.5375+0.3627,6.2213000e+24,2.2072000e+21,16.5950,1.69492,1.33460,Herschel,SPIRE
977736,HiGALFil319.6097+0.3504,2.6688000e+24,4.3476000e+20,17.1120,1.58730,1.14140,Herschel,SPIRE
977738,HiGALFil318.9091+0.3887,8.1286000e+24,6.9790000e+20,17.2810,2.00000,1.15810,Herschel,SPIRE
977768,HiGALFil322.0198+0.3721,5.0973000e+24,4.3856000e+20,16.8030,1.61290,1.12500,Herschel,SPIRE
977777,HiGALFil314.7883+0.3569,4.4722000e+24,1.0501000e+21,17.0290,1.63934,1.17160,Herschel,SPIRE
